method,n_steps,n_paths,price,std_error,runtime
MC,50,50000,9.24362388762168,0.06641944809935738,0.16683292388916016
MC,100,50000,9.17383487624302,0.06671203341491054,0.21283483505249023
MC,200,50000,8.993602029060996,0.06623843878276295,0.30266904830932617
MC,400,50000,8.85032214852482,0.0660128566360021,0.5162448883056641
MC,800,50000,8.801071062495069,0.06557444974234948,1.0424880981445312
Tree,50,,8.921493136296158,,0.0002377033233642578
Tree,100,,9.127787789795821,,0.0007188320159912109
Tree,200,,8.926123399954239,,0.0027446746826171875
Tree,400,,8.82536102511459,,0.011911153793334961
Tree,800,,8.690390567405558,,0.04601025581359863
